FailureMode,FailureCount,Percent,CumulativePercent
Solder Bridge,63,24.23076923076923,24.23076923076923
Open Solder Joint,38,14.615384615384617,38.84615384615385
Tombstoning,30,11.538461538461538,50.38461538461539
Insufficient Solder,23,8.846153846153847,59.23076923076923
Cold Solder Joint,22,8.461538461538462,67.6923076923077
Missing Component,18,6.923076923076923,74.61538461538461
Lifted Pad,14,5.384615384615385,80.0
Component Misalignment,13,5.0,85.0
Wrong Component,11,4.230769230769231,89.23076923076923
Short Circuit (Trace),8,3.076923076923077,92.3076923076923
Delamination,7,2.6923076923076925,95.0
Cracked Via,6,2.307692307692308,97.3076923076923
Solder Balling,6,2.307692307692308,99.61538461538461
Contamination/Flux Residue,1,0.38461538461538464,100.0
